ARGUMENTATIVE;Wikimedia verhÌ_lt sich wie ein Arschloch, unabhÌ_ngig davon ob sie Recht haben oder nicht.
ARGUMENTATIVE;Kann man so sehen, wenn man nur diesen einzelnen Fall betrachtet. Es ist halt so, dass Wikimedia ein prinzipielles Interesse daran hat, unberechtigten Forderungen nicht entgegenzukommen.
ARGUMENTATIVE;naja ich finde es eher fragwÌ_rdig eine gemeinnÌ_tzige non-profit Organisation wie Wikipedia zu verklagen.
NON-ARGUMENTATIVE;Ist jetzt Youtube auch illegal? Immerhin weiÌÙ ich als Nutzer ja nicht, ob der Uploader Ì_ber die Rechte verfÌ_gt?
ARGUMENTATIVE;"Sehr problematisches Urteil. Damit drÌ_ngt man den bloÌÙen Betrachter/Nutzer ins Kriminal.
Ich bringe da immer den Vergleich Museum: Sie gehen ins Museum und schaun sich ein AusstellungsstÌ_ck an, von dem Sie wissen, dass das vor einiger Zeit einem Privaten gestohlen wurde.
Sind Sie strafbar?
Die AbsurditÌ_t der derzeitigen Rechtslage zeigt sich sehr schÌ¦n daran, dass mans allein auf der VervielfÌ_ltigung aufhÌ_ngt. Sprich: Das bloÌÙe ""Betrachten"" beim streamen ist nicht rechtswidrig (wie beim Museum-Beispiel) sondern das Zwischenspeichern - die sogenannte ""vorÌ_bergehende VervielfÌ_ltigung"".
Erfindet also wer eine streaming-Technik, wo der user selbst nichts in den Arbeitsspeicher lÌ_dt, ist das alles ausgehebelt."
ARGUMENTATIVE;"Nicht ganz. Laut dem Urteil ist Streamen von erkennbar ""unautorisierten"" Quellen ebenfalls ein GesetzesverstoÌÙ - sofern er nachgewiesen werden kann."
NON-ARGUMENTATIVE;Das fÌ_llt wohl in die Kategorie gefÌ_hrliches Halbwissen
NON-ARGUMENTATIVE;"Wird schwierig
wenn in ÌÐsterreich im Gesetz explizit steht, dass die VerfielfÌ_ltigung von urheberrechtlichem Material zum eigenen Gebrauch nicht strafbar ist (å¤91 Abs 1 UrhG), der eigene Gebrauch selbst dann aber strafbar sein soll :D"
ARGUMENTATIVE;"Der EuGH hat im Grunde die Auslegung einer EU-Richtlinie nachgeschÌ_rft - und die hat auch ÌÐsterreich einzuhalten. 
Der Abruf von Streams aus erkennbar dubioser Quelle qualifiziert sich nicht fÌ_r eine Ausnahme von der Richtlinie. Und die Privatkopie wÌ_re, soweit ich das verstehe, eine solche Ausnahme und daher hier nicht anwendbar."
ARGUMENTATIVE;Das stimmt allerdings
ARGUMENTATIVE;"Danke, lieber OGH!
Hab grad noch rechtzeitig eine Bestellung bei Amazon storniert.
Ich will ja nicht, dass plÌ¦tzlich eine mythische Kriegerin an der TÌ_r klopft."
