ARGUMENTATIVE;Wikimedia verhält sich wie ein Arschloch, unabhängig davon ob sie Recht haben oder nicht.
ARGUMENTATIVE;Kann man so sehen, wenn man nur diesen einzelnen Fall betrachtet. Es ist halt so, dass Wikimedia ein prinzipielles Interesse daran hat, unberechtigten Forderungen nicht entgegenzukommen.
ARGUMENTATIVE;naja ich finde es eher fragwürdig eine gemeinnützige non-profit Organisation wie Wikipedia zu verklagen.
NON-ARGUMENTATIVE;Ist jetzt Youtube auch illegal? Immerhin weiß ich als Nutzer ja nicht, ob der Uploader über die Rechte verfügt?
ARGUMENTATIVE;"Sehr problematisches Urteil. Damit drängt man den bloßen Betrachter/Nutzer ins Kriminal.
Ich bringe da immer den Vergleich Museum: Sie gehen ins Museum und schaun sich ein Ausstellungsstück an, von dem Sie wissen, dass das vor einiger Zeit einem Privaten gestohlen wurde.
Sind Sie strafbar?
Die Absurdität der derzeitigen Rechtslage zeigt sich sehr schön daran, dass mans allein auf der Vervielfältigung aufhängt. Sprich: Das bloße ""Betrachten"" beim streamen ist nicht rechtswidrig (wie beim Museum-Beispiel) sondern das Zwischenspeichern - die sogenannte ""vorübergehende Vervielfältigung"".
Erfindet also wer eine streaming-Technik, wo der user selbst nichts in den Arbeitsspeicher lädt, ist das alles ausgehebelt."
ARGUMENTATIVE;"Nicht ganz. Laut dem Urteil ist Streamen von erkennbar ""unautorisierten"" Quellen ebenfalls ein Gesetzesverstoß - sofern er nachgewiesen werden kann."
NON-ARGUMENTATIVE;Das fällt wohl in die Kategorie gefährliches Halbwissen
NON-ARGUMENTATIVE;"Wird schwierig
wenn in Österreich im Gesetz explizit steht, dass die Verfielfältigung von urheberrechtlichem Material zum eigenen Gebrauch nicht strafbar ist (§91 Abs 1 UrhG), der eigene Gebrauch selbst dann aber strafbar sein soll :D"
ARGUMENTATIVE;"Der EuGH hat im Grunde die Auslegung einer EU-Richtlinie nachgeschärft - und die hat auch Österreich einzuhalten. 
Der Abruf von Streams aus erkennbar dubioser Quelle qualifiziert sich nicht für eine Ausnahme von der Richtlinie. Und die Privatkopie wäre, soweit ich das verstehe, eine solche Ausnahme und daher hier nicht anwendbar."
ARGUMENTATIVE;Das stimmt allerdings
ARGUMENTATIVE;"Danke, lieber OGH!
Hab grad noch rechtzeitig eine Bestellung bei Amazon storniert.
Ich will ja nicht, dass plötzlich eine mythische Kriegerin an der Tür klopft."
ARGUMENTATIVE;Für so einen Kommentar würde ich gern zehn Minusstricherln vergeben.
ARGUMENTATIVE;"Erstens ist gar nicht juristisch klar, was nun ""illegal"" ist. Dazu gibt es bereits heiße Diskussionen im Netz, auch mit Juristen. Vor allem: Wenn jemand etwas zur Verfügung stellt, welches Recht gilt dann? Das Recht jenes Landes, in dem der Zurverfügungsteller wohnt, dasjenige, wo der Originaldatenträger gekauft wurde, dasjenige des Herunterladenden?
Zweiten: Wenn Sie mich verklagen, und eine IP-Adresse aus einem E-Mail als Beweis sehen ohne die Daten vom Provider ausgehoben zu haben, zerlege ich Sie höchstpersönlich. Von Internet und dessen Funktion haben Sie nämlich keine Ahnung! Das wird Ihnen auch Ihr eigener Sachverständiger bestätigen, den Sie vielleicht drohen, hinzu zu ziehen."
ARGUMENTATIVE;Ich denke, dabei geht es nur um Google und Streetview. Denn überlegt mal, wie viel Geld man so von Google erpressen könnte ….
ARGUMENTATIVE;"Das EU-Parlament wird langsam aber sicher schwachsinnig bei der Findung neuer Verbote und Gesetztefindungen. Das Gesetz kommt einem Berufsverbot gleich.
Arbeiten in der EU eigentlich Menschen ?"
ARGUMENTATIVE;"Ich kann mir kaum vorstellen das ein Link in einem Telefonbucheintrag, 
der von einem großen Festnetzanbieter verwaltet wird, 
zu einem, der den Namen des legalen Adressinhabers nutzt und 
neben der Fremdwerbung des polnischen Servers auch den Eindruck erweckt, 
dass der E-Mail-Link, der aus dem Namen des legalen Adressinhabers zusammengesetzt ist, zu dem legalen Adressinhaber gehört."
ARGUMENTATIVE;sehr schön. was ist denn an der situation noch zu verbessern?
ARGUMENTATIVE;Ich bin nicht dafür, das Feld zum zentralen Ort der Berliner Volksgartenkultur zu machen - zumindest nicht, wenn das dann zu der dominierenden Nutzung wird. Bin für mehr dezentrale Gärten in der Stadt.
