ARGUMENTATIVE;kleine Elektrodrohnen just for fun, warum nicht.
ARGUMENTATIVE;Ebenfalls zum Zweck der Erhöhung der biologischen Vielfalt sollten die Ruderalen Wiesen und Staudensäume so gemäht werden, dass von Jahr zu Jahr wechselnde Teilflächen nicht gemäht werden (Rotationsbrachen zum Erhalt in der Krautschicht überwinternder Insekten).
NON-ARGUMENTATIVE;Ich kann da aber auch nicht für alle sprechen.
NON-ARGUMENTATIVE;Ja dette wär doch watt!
ARGUMENTATIVE;Es gab bereits Pläne einen künstlichen See anzulegen auf dem Wellenreiten betrieben werden kann.
ARGUMENTATIVE;Neben diser Überwachungsgeschichte zerstören sie auch die Umwelt am meisten.
NON-ARGUMENTATIVE;Genau das habe ich auch gemeint.
ARGUMENTATIVE;Die Bepflanzung könnte dort entstehen, wo die Windsportler nicht beeinträchtigt werden, aber z.B. die Dog Runs etwas mehr geschützt werden.
ARGUMENTATIVE;Dabei werden dort die Steuern erwirtschaftet, von denen alle Staatsdiener und Hilfeempfänger leben.
ARGUMENTATIVE;Nur wenige Meter entfernt in der Hasenheide gibt es das: passabel gepflegte Schotterwege, Bäume für den Schatten, und abwechslungsreich ist eine Joggingroute durch die Hasenheide allemal.
ARGUMENTATIVE;"Gut fände ich, wenn weiterhin keine ""togo""-Becher angeboten werden, sehr begrüßen würde ich, wenn endlich mal die Standardkettensüßigkeiten von CocaCola, Nestle und Co gegen welche von angenehmeren Herstellern vertauscht würden."
ARGUMENTATIVE;Vorschlag per Email Einrichtung einer multifunktionalen Beachanlage auf dem THF Auf einem zusammenhängenden Areal von 5000 – 7000 m² sind als Grundlage des Konzeptes 20 – 30 Beachvolleyballfelder zur stundenweisen Vermietung geplant, die nach Bedarf u.a. auch für andere populäre Beachsportarten werden können.
ARGUMENTATIVE;Und als suchtkrank hat er sich auch nicht bezeichnet, sondern als Säufer.
ARGUMENTATIVE;In allen Befragungen wird seit Jahren immer wieder Bäume und Schatten gefordert, das konnte man in den Zeitungen nachlesen.
ARGUMENTATIVE;Sie besteht aus einem Geflecht von grauer Fallschirmseide, die an Holzpfählen befestigt wird.
ARGUMENTATIVE;Wir schulen seit 2009 Unfallfrei und bieten zu unseren Kitelandboarding Kursen in Berlin auch Kitesurfkurse auf Rügen an.
ARGUMENTATIVE;Bevorzugt fände ich übrigens Bäume gut, die auch Früchte tragen!
ARGUMENTATIVE;dann meine ich die Fläche südlich von Zaun, wo alle Besuche frei laufen können.
ARGUMENTATIVE;Auch durch den in Winter aufgestreuten Split z.B. auf der Südbahn und der Betonflächen die im Westen Nord- und Südbahn verbindet kam es schon öfter zu Stürzen.
ARGUMENTATIVE;ist eine super Sache.
ARGUMENTATIVE;Dem möchte ich mich gerne anschließen.
ARGUMENTATIVE;"Das Tempelhofer Feld braucht bestimmt keine gewinnorientierten Firmen, die auf öffentlichem Grund ihren Schnitt machen wollen ;)"
NON-ARGUMENTATIVE;Wurden dafür schon spezielle Golfbälle und Schläger entwickelt sowie Treppchen, damit die Golfspieler das Loch überhaupt finden ?
ARGUMENTATIVE;Das Feld ist gut, aber warum sollte es nicht besser werden?
ARGUMENTATIVE;"Die legitime Kritik der ""Unendlichkeit"" habe ich ebenfalls beim Formulieren berücksichtigt."
ARGUMENTATIVE;Ich bin auch sehr dafür, den Asphalt auf den ehem. Start/Landebahnen zu pflegen, bevor große Risse und Löcher entstehen.
ARGUMENTATIVE;Bis jetzt für mich der beste Vorschlag unter all den genannten Parkours, Trimm-Pfade, Outdoor-Fitness, Bewegungsspielplätzen usw.!
ARGUMENTATIVE;Hier muss eine Ampel oder ein Zebrastreifen her und der Bordstein muss abgesenkt werden.
ARGUMENTATIVE;"Ich will aber keine ""Wand"" auf dem Feld - auch nicht am rand."
ARGUMENTATIVE;Ich fände es auch schön, wenn die Hunde mal frei laufen können.
ARGUMENTATIVE;Länderübergreifende Speisen, auch vegetarisch, würden die Attraktivität steigern.
ARGUMENTATIVE;Anbauflächen von Heilpflanzen werden daher für die Öffentlichkeit nur bedingt offen gehalten.
ARGUMENTATIVE;Was eine großartige Idee.
ARGUMENTATIVE;Dort könnten alle Berliner Clubs spielen, die es doch mal in die erste oder zweite Liga schaffen sollten.
ARGUMENTATIVE;Anders sieht es mit Sträuchern aus, die sind in Kaltluftleitbahnen nachteilig.
ARGUMENTATIVE;Der maßgebliche naturschutzfachliche Wert des Tempelhofer Feldes für Berlin ist in den zusammenhängenden natürlichen Offenbereichen zu sehen.
ARGUMENTATIVE;Hammer!
NON-ARGUMENTATIVE;Man merkt daran, dass nicht gleich eine Ablehnung dagegen herrscht sondern eher eine gewisse Sorge.
ARGUMENTATIVE;Spiel und Spaß auch im Erwachsenenalter
ARGUMENTATIVE;Um landschaftliche Qualitäten wahrnehmen zu können, muss man schon ziemlich alt sein.
ARGUMENTATIVE;Das mit den Fotos auch lächerlich , man kann genau so mit Teleobjektiv und Handys filmen  drohnen Kameras werden eh meist nur zur Orientierung benutzt
ARGUMENTATIVE;Einen nachvollziehbaren Grund konnte man mir allerdings nicht nennen.
ARGUMENTATIVE;Nie im Leben würde sich dort eine Beachvolleyballanlage rentieren, wenn die Betreiber das Gelände zu Marktpreisen erwerben müssten.
ARGUMENTATIVE;100% für Alle!
NON-ARGUMENTATIVE;Nur: Was will uns der Autor damit sagen...?
ARGUMENTATIVE;Nebenan verläuft die Autobahn und der Sicherheitsdienst fährt selbst den ganzen Tag mit Autos über das Feld.
ARGUMENTATIVE;Da das Gesetz Abgrabungen aller Art verbietet, ist auch ein anderes Konzept zum Umgang mit dem Regenwasser leider nicht möglich.
ARGUMENTATIVE;Müssen ja nicht nur Bäume sein...
ARGUMENTATIVE;Mich würde eine weitere Toiletten Anlage bei dem Brand Übungsflugzeug nicht stören.
NON-ARGUMENTATIVE;Stonehenge auf Tempelhof?
ARGUMENTATIVE;Das halte ich auch für einen guten Vorschlag, es gab ja in den letzten jahren bereits Bewerbungen, die der Verwaltung vorliegen.
ARGUMENTATIVE;Daher bezog ich mich vor allem auf die Tennisfelder.
ARGUMENTATIVE;Denkbar wären je nach Größe des zur Verfügung stehenden Geländes z.B. folgende Hügelformen : ein einzelner Hügel in Form eines flachen Kegels von 3-5m Höhe und 50m Radius, eventuell auch elipsenfförmig entsprechend der Hauptwindrichtungen, in der Tradition der Übungshügel von Otto Lilienthal, nur kleiner , eben  für Bodenspiele.
ARGUMENTATIVE;Viele kommen denke ich aus Richtung Suedstern und nutzen die Lilienthalstr. als Zubringer zum Feld oder parken dort.
ARGUMENTATIVE;Warum nicht ein paar schöne schwarz-weiß gefleckte Kühe im Wiesenmeer?
ARGUMENTATIVE;sehr schöne und kreative Idee.
ARGUMENTATIVE;Ich finde den Vorschlag eines Gesamtgartenkonzepts toll!
ARGUMENTATIVE;Die Trasse könnte ggf. langfristig die schnelle Anbindung von Britz, Rudow-West und vor allem der Neubaugebiete in Großziethen an den S-Bahn-Ring und die U8 zur Innenstadt verbessern.
ARGUMENTATIVE;Die vorhandenen Brut- und Freiflächen sollten in jedem Fall erhalten bleiben, daher finde ich das keine weiteren Wege gebaut werden sollten.
ARGUMENTATIVE;Erst jetzt ist das Feld allen Berlinerinnen und Berlinern frei zugänglich und wird auch von mehr Menschen genutzt als in der Zeit des Flugbetriebes.
ARGUMENTATIVE;RC-Flugzeuge, Hubschrauber etc. sind eher eine Gefahr für Besucher.
ARGUMENTATIVE;Desweiteren bieten die Hecken den Vögeln eine Behausung.
ARGUMENTATIVE;Ich bin gegen noch größere Gärten Flächen.
ARGUMENTATIVE;Ich hoffe, dass in Zukunft mehr Menschen diese Sportart wiederentdecken und sich gemeinsame Treffen/Aktivitäten entwickeln.
ARGUMENTATIVE;Und wer macht dann die Hundescheiße weg?
ARGUMENTATIVE;Wow, das PASST ja super dahin!!
ARGUMENTATIVE;Ansonsten wäre WLAN über Freifunk natürlich eine schöne Sache, allerdings ließe sich darüber wohl kaum ein großer Teil der Fläche abdecken.
ARGUMENTATIVE;Viel mehr !
ARGUMENTATIVE;Der Platz sollte dabei helfen Vorurteile auszuräumen und eine Übungsfläche für alle zu schaffen.
ARGUMENTATIVE;Ich bin gegen festgelegte Kitezonen auf dem Tempelhofer Feld, es soll so bleiben wie es ist.
ARGUMENTATIVE;Hier können Hunde ab 21 Uhr bis morgens um 9 ohne Leine im Central Park laufen.
ARGUMENTATIVE;Klar.
ARGUMENTATIVE;Die Grillplätze werden im Sommer an den Wochenenden benutzt.
NON-ARGUMENTATIVE;Ich habe dort noch keine Volleyballfelder gefunden, aber vielleicht gibt es auch noch irgend eine Ecke wo die sind, die ich noch nicht kenne.
ARGUMENTATIVE;Im ThFG kann doch etwas nicht stehen, was erst noch entwickelt werden soll.
ARGUMENTATIVE;Die Argumentation, gestützt durch wissenschaftliche Expertisen, sagt, dass Bäume im Bereich des Wiesenmeeres die Kaltluftentstehung behindern und in den Randlagen (T-Damm und Columbiadamm) den Austausch behindern, d.H. die gesammte Logik für das Wiesenmeer in Frage stellen.
ARGUMENTATIVE;Wenn das wirklich so funktionieren würde wie du schreibst wäre das eine tolle Sache!
ARGUMENTATIVE;Man kann sich ja auch einfach mal etwas zu essen mitbringen, wenn man länger auf dem Feld bleiben will.
ARGUMENTATIVE;Ich finde die Idee super!
ARGUMENTATIVE;Die Pflanzen dieser Grünfläche sind in großen Bereichen des Feldes geschützt.
NON-ARGUMENTATIVE;Sind die Mobilfunknetze tatsächlich auf dem Feld so schlecht?
ARGUMENTATIVE;Die Zeit vor 10 Uhr ist für die meisten auch sowieso recht uninteressant, ein paar Radfahrer, die aber auf dem Asphalt bleiben, und ein paar Jogger.
NON-ARGUMENTATIVE;Die Driving Range darf auch ohne Platzreifeerlaubnis betreten und genutzt werden.
ARGUMENTATIVE;His Way - dafür!
ARGUMENTATIVE;Jetzt schon detailliert zu überlegen, wie das ungelegte ei bemalt werden soll, halte ich für verfrüht.
ARGUMENTATIVE;Faende es schoen, wenn man fuer die Sportler am Rande des Feldes einen Fitnessparkour einrichtet.
ARGUMENTATIVE;Bspw. die am südlichen Rand gelegene Begrenzung zur Bahnlinie oder hinter dem Skate-Park.
ARGUMENTATIVE;Ich finde das Gesetz aber in dieser Hinsicht nicht richtig.
ARGUMENTATIVE;Wenn das auch überregional geschätzt wird, dann hat man leichter Rückenwind.
ARGUMENTATIVE;Sehr gute Idee,.
ARGUMENTATIVE;Ein Schwimmbad braucht es finde ich nicht, das gibt's nebenan und anderswo, und einen Springbrunnen kann man sich auch sparen.
ARGUMENTATIVE;"* Damit würde zugleich der Kerngedanke der Allmende-Idee - nämlich die nachhaltige / verantwortliche Nutzung - in einem Mikro-Kosmos sinnfällig übersetz- & diskutierbar für den Makro-Kosmos, unser ""Raumschiff Erde"" (Stichworte auch: Auseinandersetzung mit Eigentumsverhältnissen & Wiederentdeckung der Gemeingüter)."
ARGUMENTATIVE;Elitär ist daran heute nichts mehr.
ARGUMENTATIVE;Ganz so, wie es Christian sagt, ist es zwar nicht, aber (leider) es ist es zutreffend, dass es bislang recht intransparent ist, wie man denn an ein Beet kommt... (das wird aber vermutlich im Gartenjahr 2015 besser!)
ARGUMENTATIVE;Da das THF zT. unterkellert ist, könnte das eine ideale Sammlung von Gängen sein, um darin Laser Tech spielen zu können.
ARGUMENTATIVE;Warum nicht mal ein Ort ohne Gastronomie und Konsum?
ARGUMENTATIVE;Die Idee ist gut.
ARGUMENTATIVE;Wir könnten ja passend zur Bewerbung um den Ryder Cup mit einer Veranstaltung pro Jahr anfangen und dann sehen, ob es kompatibel ist und ausreichend nachgefragt.
NON-ARGUMENTATIVE;Bzgl. Wind kommt noch dazu, dass es auf dem Feld häufig böig ist, am genannten Sonntag kam aber wirklich alles postive zusammen.
ARGUMENTATIVE;Dort konnte JEDER hingehen, wenn er Golf mal ausprobieren wollte, 40 Bälle kosteten 2,- € und im daneben liegenden ProShop (= ein Golfgeschäft, in dem man Ausrüstung wie Schläger oder Klamotten kaufen kann) konnte man sich für 1,- € einen Schläger ausborgen und dann konnte man das eben mal ausprobieren.
ARGUMENTATIVE;Neben einer wohl vergleichsweise kostengünstigen Erschließung hat die Stelle im Vergleich zu einem weiter westlich gelegenen Punkt den Vorteil, bei einem evtl. neuen S-Bahnhalt Oberlandstraße/Tempelhofer Feld mit Umstieg auch eine Anbindung zur Neukölln-Mittenwalder Eisenbahn nach Süden zu haben.
ARGUMENTATIVE;Zu deinem letzten Punkt: ich denke, dass jeder hier eingebrachte Vorschlag in gewisser Weise Partikularinteressen beinhaltet.
ARGUMENTATIVE;Ja, da traf ich Leute aus Berlin aber auch weltweit, aus Neuzeeland und Japan !
ARGUMENTATIVE;Es ist einfach nur atemberaubend, in welcher Vielfalt sich der Sport dort jedes mal aufs Neue darstellt und nahezu jeden - egal ob jung oder alt, Berliner oder Tourist, Mann oder Frau - in seinen Bann zieht!
ARGUMENTATIVE;Die Idee liegt nahe, auf dem Tempelhofer Feld eine Landkite- und -surfschule zu etablieren, die das Freizeitangebot des Feldes für die Berlinerinnen und Berliner um den Windsport erweitert und sich somit auch am Prozess der Gestaltung des Feldes beteiligt.
ARGUMENTATIVE;Macht uns Gleitschirmflieger mit groundhandling glücklich und stört andere nicht durch irgendwelche Konstruktionen.
ARGUMENTATIVE;Es muss keine bestehende Straße nach ihm benannt werden.
ARGUMENTATIVE;Es sollten landwirtschaftliche Schauflächen und Viehställe angelegt werden.
NON-ARGUMENTATIVE;Warum braucht die Kiteschule einen Anhänger?
ARGUMENTATIVE;Natürlich unter Einhaltung der Lerchenschutzzonen.
ARGUMENTATIVE;In dem Zusammenhang wäre eine Ausstellung zum Thema: Auswirkungen des Klimawandels im 22 Jahrhundert denkbar oder verschiedene  geschichtliche Entwicklungen von Erneuerbaren Technologien könnten vorgestellt werden.
ARGUMENTATIVE;Eine nachhaltige Verstetigung durch weitere Aktionen auf dem Pfad spielt eine wichtige Rolle, z.B. durch Meditationsgruppen, Bewegungsgruppen, Nordic Walking, Spazierganggruppen, Laufgruppen, Tai Chi, Chi Gong, Yoga o.ä. .
ARGUMENTATIVE;"Wäre ungemein schade wenn die Anlage weiter verfällt, bzw. entfällt, denn in der vorliegenden Ideenskizze ""Columbia-Sportpark"" kommt sie nicht vor."
